,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
95,35.0,Hessová Jaroslava,Mgr.,44.0,ČSSD,ČSSD,8371.0,2.07,25.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,22.0,Heyduková Ivana,Ing.,34.0,ODA,BEZPP,590.0,2.26,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,9.0,Hlásek František,,43.0,KSČM,KSČM,5803.0,2.23,2.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,12.0,Hodina Vlastimil,,69.0,SŽJ,SŽJ,258.0,2.92,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,41.0,Hógel Josef,Ing. CSc.,58.0,ODS,ODS,14816.0,1.99,21.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,30.0,Holakovský Břetislav,,76.0,KSČM,KSČM,5538.0,2.12,22.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11.0,Holenda Jiří,Doc. RNDr. CSc.,69.0,SNK ED,BEZPP,4635.0,3.9,1.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,9.0,Holmanová Květa,,43.0,US-DEU,US-DEU,2737.0,2.3,7.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,14.0,Honců Antonín,Ing.,59.0,US-DEU,US-DEU,2359.0,1.98,11.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,44.0,Horneková Marie,,23.0,SZ,BEZPP,1075.0,1.49,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,Hornofová Zdeňka,Dr.,55.0,KSČM,KSČM,5970.0,2.29,5.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,7.0,Houška Josef,Mgr.,55.0,ČSSD,ČSSD,9110.0,2.25,9.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,Houšková Božena,,61.0,ODA,ODA,667.0,2.56,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,19.0,Houžvička Jan,Ing.,31.0,SNK ED,BEZPP,2550.0,2.14,16.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,27.0,Hrach Jaroslav,,46.0,SZ,SZ,1520.0,2.11,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,13.0,Hrstka Jan,,51.0,SŽJ,SŽJ,471.0,5.34,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,37.0,Hrubá Jarmila,,37.0,KSČM,KSČM,5529.0,2.12,29.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
