,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
96,22.0,Heyduková Ivana,Ing.,34,ODA,BEZPP,590,2.26,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
97,9.0,Hlásek František,,43,KSČM,KSČM,5 803,2.23,2.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
98,12.0,Hodina Vlastimil,,69,SŽJ,SŽJ,258,2.92,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
99,41.0,Hógel Josef,Ing. CSc.,58,ODS,ODS,14 816,1.99,21.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
100,30.0,Holakovský Břetislav,,76,KSČM,KSČM,5 538,2.12,22.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
101,11.0,Holenda Jiří,Doc. RNDr. CSc.,69,SNK ED,BEZPP,4 635,3.9,1.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
102,9.0,Holmanová Květa,,43,US-DEU,US-DEU,2 737,2.3,7.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
103,14.0,Honců Antonín,Ing.,59,US-DEU,US-DEU,2 359,1.98,11.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
104,44.0,Horneková Marie,,23,SZ,BEZPP,1 075,1.49,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
105,5.0,Hornofová Zdeňka,Dr.,55,KSČM,KSČM,5 970,2.29,5.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
106,7.0,Houška Josef,Mgr.,55,ČSSD,ČSSD,9 110,2.25,9.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
107,5.0,Houšková Božena,,61,ODA,ODA,667,2.56,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
108,19.0,Houžvička Jan,Ing.,31,SNK ED,BEZPP,2 550,2.14,16.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
109,27.0,Hrach Jaroslav,,46,SZ,SZ,1 520,2.11,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
110,13.0,Hrstka Jan,,51,SŽJ,SŽJ,471,5.34,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
111,37.0,Hrubá Jarmila,,37,KSČM,KSČM,5 529,2.12,29.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
112,4.0,Hrubeš František,Dr.,50,KSČM,KSČM,5 964,2.29,4.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
113,9.0,Hrubý Jaroslav,Ing.,55,KDU-ČSL,KDU-ČSL,2 842,1.95,9.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
